,Id,Regiao,Data_Inicio,Andar,Elevador,Max_Ocup,Tipologia,Ar_Condicionado,Num_Reservas,Valor_FLH
0,100027,Algarve,2019-06-07,0,,6,T2,0,6,1076.992
1,101054,Algarve,2019-07-01,2,1.0,4,T1,0,2,242.578
2,101057,Algarve,2019-07-01,0,0.0,7,T3,1,7,1690.808
3,101060,Algarve,2019-07-01,0,,4,T1,1,13,463.022
4,102069,Algarve,2019-07-05,8,1.0,4,T1,1,11,1070.265
5,102072,Algarve,2019-07-05,0,,6,T3,1,5,667.884
6,102075,Algarve,2019-07-05,1,,6,T2,0,5,633.5
7,102090,Algarve,2019-07-15,4,1.0,4,T2,0,10,1215.886
8,106186,Algarve,2019-07-24,4,1.0,6,T3,0,6,995.701
9,106198,Algarve,2019-07-29,2,1.0,4,T2,1,10,2236.136
10,106210,Algarve,2019-08-06,1,1.0,4,T1,1,5,580.531
11,118552,Algarve,2019-10-21,4,1.0,7,T4,1,1,81.529
12,341026,Algarve,2016-07-14,0,,5,T2,0,10,495.74
13,342029,Algarve,2016-07-14,0,,3,T1,0,8,360.451
14,390173,Algarve,2017-02-01,4,1.0,4,T1,0,12,891.625
15,391176,Algarve,2017-02-01,1,,4,T1,0,18,1486.373
16,393182,Algarve,2017-02-01,2,1.0,4,T1,0,12,1405.698
17,397194,Algarve,2017-02-07,2,1.0,4,T1,0,11,632.044
18,410233,Algarve,2017-02-28,0,,8,T3,1,9,1869.609
19,411236,Algarve,2017-02-28,0,1.0,5,T2,0,18,1647.828
20,412239,Algarve,2017-02-28,0,,7,T3,0,32,4637.878
21,404215,Algarve,2017-02-24,1,,6,T3,1,24,3899.756
22,427284,Algarve,2017-04-13,3,,6,T2,0,8,1115.219
23,428287,Algarve,2017-04-15,1,1.0,6,T3,1,15,2012.514
24,441326,Algarve,2017-04-28,0,1.0,4,T1,0,12,1213.632
25,442329,Algarve,2017-05-02,13,1.0,5,T1,0,17,1585.304
26,443332,Algarve,2017-05-03,0,,4,T2,0,12,1570.625
27,458377,Algarve,2017-05-23,2,,4,T2,0,10,1173.375
28,448347,Algarve,2017-05-04,0,,5,T2,0,12,763.672
29,484455,Algarve,2017-06-20,0,,6,T2,0,12,1732.892
30,513542,Algarve,2017-07-31,7,,4,T0,1,15,1341.389
31,518557,Algarve,2017-08-02,0,,6,T3,0,8,1111.985
32,525578,Algarve,2017-08-22,0,,6,T2,0,20,3364.697
33,535608,Algarve,2017-09-06,0,,6,T2,1,28,4918.711
34,542629,Algarve,2017-09-12,0,,10,T5,1,16,4509.785
35,548647,Algarve,2017-09-18,2,1.0,4,T1,1,16,1809.514
36,560683,Algarve,2017-11-08,0,,2,T1,1,22,803.047
37,562689,Algarve,2017-11-08,0,,2,T1,1,26,1006.705
38,563692,Algarve,2017-11-08,1,,2,T1,1,25,1039.787
39,564695,Algarve,2017-11-08,0,,2,T1,1,17,591.997
40,559168,Algarve,2014-10-19,0,,6,T3,0,23,3021.431
41,598797,Algarve,2017-12-26,4,1.0,4,T1,0,12,1113.14
42,600803,Algarve,2017-12-28,0,,6,T3,1,41,5523.931
43,607824,Algarve,2018-01-17,2,1.0,5,T2,1,20,3523.625
44,615848,Algarve,2018-02-12,1,,4,T2,1,10,981.33
45,636911,Algarve,2018-03-06,0,,6,T3,1,7,1387.939
46,637914,Algarve,2018-03-09,0,,6,T2,0,12,1468.257
47,638917,Algarve,2018-03-09,0,,7,T2,0,20,2287.033
48,665998,Algarve,2018-04-20,3,,6,T3,0,14,2158.044
49,666001,Algarve,2018-04-23,0,,3,T1,0,9,472.416
50,660983,Algarve,2018-04-05,1,1.0,7,T3,0,8,859.124
51,684055,Algarve,2018-05-14,3,,4,T1,0,12,1006.495
52,685058,Algarve,2018-05-14,11,1.0,5,T2,1,14,1384.271
53,688067,Algarve,2018-05-15,0,,6,T2,0,16,2033.108
54,713142,Algarve,2018-06-14,0,,4,T1,1,35,4775.309
55,714145,Algarve,2018-06-14,0,,6,T3,1,16,3591.182
56,727184,Algarve,2018-07-16,1,,4,T1,1,28,2250.885
57,744235,Algarve,2018-08-02,6,,5,T2,1,18,2080.19
58,750253,Algarve,2018-08-16,0,0.0,12,T5,1,14,4900.679
59,758277,Algarve,2018-08-31,0,0.0,6,T3,1,10,2210.516
60,771316,Algarve,2018-09-21,0,,4,T1,1,20,1811.439
61,772319,Algarve,2018-09-21,0,,11,T5,0,15,3090.864
62,781346,Algarve,2018-10-16,4,1.0,6,T2,1,11,1311.639
63,782349,Algarve,2018-10-16,0,,8,T3,1,36,8573.733
64,763292,Algarve,2018-09-06,5,,4,T2,1,10,1113.77
65,791376,Algarve,2018-10-29,2,1.0,4,T2,1,33,5689.11
66,793382,Algarve,2018-11-06,0,,4,T2,0,18,2038.232
67,894685,Algarve,2019-02-08,5,1.0,4,T1,1,25,1008.931
68,884655,Algarve,2019-01-10,2,,4,T2,0,22,2195.2
69,905718,Algarve,2019-02-25,1,0.0,2,T1,1,20,2343.208
70,923772,Algarve,2019-02-28,1,,4,T2,0,9,1633.408
71,924775,Algarve,2019-02-28,0,,3,T0,0,18,1896.692
72,928787,Algarve,2019-03-12,0,,8,T3,1,17,1938.195
73,930793,Algarve,2019-03-12,2,,4,T2,0,14,1553.951
74,931796,Algarve,2019-03-12,0,,3,T2,0,32,4605.636
75,941826,Algarve,2019-03-19,0,,4,T2,1,12,2530.934
76,942829,Algarve,2019-03-20,0,,4,T2,0,14,1780.394
77,943832,Algarve,2019-03-20,2,,5,T2,1,13,1600.634
78,945838,Algarve,2019-03-21,11,1.0,3,T0,1,17,2078.573
79,946841,Algarve,2019-03-22,0,,6,T3,1,11,2345.644
80,947844,Algarve,2019-03-27,2,,4,T1,0,10,902.02
81,959880,Algarve,2019-04-15,1,,12,T4,0,10,1750.805
82,969910,Algarve,2019-04-24,0,,9,T4,1,17,3028.907
83,982949,Algarve,2019-05-29,1,1.0,6,T3,1,24,3899.735
84,983952,Algarve,2019-05-27,1,,4,T2,1,19,2851.66
85,988967,Algarve,2019-05-16,0,,4,T2,0,8,698.467
86,997994,Algarve,2019-05-27,3,1.0,4,T1,1,17,1960.826
87,998997,Algarve,2019-05-27,3,1.0,4,T2,0,20,2692.795
88,979940,Cascais-Estoril,2019-05-08,1,1.0,4,T2,0,48,2367.953
89,972919,Cascais-Estoril,2019-05-02,0,,9,T5,0,17,3017.224
90,962889,Cascais-Estoril,2019-04-17,1,,4,T2,1,16,3403.162
91,915748,Cascais-Estoril,2019-02-27,0,,5,T2 Duplex,0,2,532.889
92,855568,Cascais-Estoril,2018-11-13,0,,4,T1,1,54,3945.522
93,716151,Cascais-Estoril,2018-06-18,2,,4,T1,0,6,234.724
94,710133,Cascais-Estoril,2018-06-05,5,1.0,6,T3,0,29,3472.693
95,655968,Cascais-Estoril,2018-03-28,0,,4,T2,0,1,170.121
96,644935,Cascais-Estoril,2018-03-19,0,,4,T2,1,26,3695.454
97,609183,Cascais-Estoril,2014-04-09,0,,3,T0,0,36,1915.326
98,489470,Cascais-Estoril,2017-06-22,0,0.0,6,T2,1,16,3455.032
99,326981,Cascais-Estoril,2016-06-28,0,1.0,4,T2,0,29,2951.83
